BusStopCode,RoadName,Description,FullName,Latitude,Longitude
44571,Choa Chu Kang Ave 2,Blk 297D,44571 - Blk 297D,1.37836,103.74317
44579,Choa Chu Kang Ave 2,Aft Blk 272,44579 - Aft Blk 272,1.37851,103.74345
44581,Choa Chu Kang Ave 5,Blk 489A,44581 - Blk 489A,1.37532,103.74031
44589,Choa Chu Kang Ave 5,Opp Blk 489A,44589 - Opp Blk 489A,1.37513,103.74018
44591,Choa Chu Kang Ave 6,Blk 490B,44591 - Blk 490B,1.37543,103.74197
44599,Choa Chu Kang Ave 6,Bet Blks 801B/801C,44599 - Bet Blks 801B/801C,1.37551,103.74219
44601,Saujana Rd,Blk 413,44601 - Blk 413,1.38213,103.76845
44609,Saujana Rd,Blk 408,44609 - Blk 408,1.38201,103.76817
44611,Jelapang Rd,Blk 516,44611 - Blk 516,1.38712,103.76758
44619,Jelapang Rd,Blk 506,44619 - Blk 506,1.38695,103.76764
44621,Choa Chu Kang Ave 4,Opp Concord Pr Sch,44621 - Opp Concord Pr Sch,1.37923,103.7371
44629,Choa Chu Kang Ave 4,Blk 457,44629 - Blk 457,1.37851,103.73645
44631,Jelebu Rd,Opp Bt Panjang Plaza,44631 - Opp Bt Panjang Plaza,1.37962,103.76391
44639,Jelebu Rd,Bt Panjang Plaza,44639 - Bt Panjang Plaza,1.38007,103.76396
44641,Bt Panjang Ring Rd,Blk 602,44641 - Blk 602,1.38178,103.76286
44649,Bt Panjang Ring Rd,Blk 541A CP,44649 - Blk 541A CP,1.38207,103.76296
44651,Bt Panjang Ring Rd,Blk 617,44651 - Blk 617,1.38533,103.7629
44659,Bt Panjang Ring Rd,Blk 537A CP,44659 - Blk 537A CP,1.38497,103.76292
44661,Jelapang Rd,Blk 532,44661 - Blk 532,1.38448,103.765
44669,Jelapang Rd,Opp Blk 532,44669 - Opp Blk 532,1.38429,103.7649
44671,Saujana Rd,Bet Blks 502/503,44671 - Bet Blks 502/503,1.38378,103.76603
44679,Saujana Rd,Opp Blk 502,44679 - Opp Blk 502,1.38353,103.766
44689,Choa Chu Kang Ave 3,Sunshine Pl,44689 - Sunshine Pl,1.37811,103.7385
44691,Segar Rd,Blk 485,44691 - Blk 485,1.38826,103.77146
44699,Segar Rd,Blk 457,44699 - Blk 457,1.38805,103.77154
44701,Bt Panjang Ring Rd,Blk 548B,44701 - Blk 548B,1.38927,103.7688
44709,Segar Rd,Blk 547C,44709 - Blk 547C,1.38854,103.76843
44721,Bt Panjang Ring Rd,Opp Jelapang Stn,44721 - Opp Jelapang Stn,1.38679,103.76492
44731,Jelebu Rd,Opp Blk 180,44731 - Opp Blk 180,1.37888,103.76433
44739,Jelebu Rd,Blk 180,44739 - Blk 180,1.37877,103.7646
44771,Fajar Rd,Fajar Stn,44771 - Fajar Stn,1.38459,103.7708
44779,Fajar Rd,Opp Fajar Stn,44779 - Opp Fajar Stn,1.38422,103.77021
44791,Senja Rd,West View Pr Sch,44791 - West View Pr Sch,1.38372,103.76069
44799,Senja Rd,Blk 610,44799 - Blk 610,1.38339,103.76096
44801,Senja Rd,Opp Blk 628,44801 - Opp Blk 628,1.38504,103.75908
44809,Senja Rd,Blk 628,44809 - Blk 628,1.385,103.75978
44811,Senja Rd,Senja FC,44811 - Senja FC,1.38715,103.76021
44819,Senja Rd,Opp West Spring Sec Sch,44819 - Opp West Spring Sec Sch,1.38719,103.75984
44821,Senja Link,Blk 651,44821 - Blk 651,1.38638,103.76338
44829,Senja Link,Opp Blk 650,44829 - Opp Blk 650,1.38671,103.76306
44831,Bt Panjang Ring Rd,Blk 519,44831 - Blk 519,1.38789,103.76579
44839,Bt Panjang Ring Rd,West Spring Pri Sch,44839 - West Spring Pri Sch,1.38855,103.7662
44859,Petir Rd,Maysprings Condo,44859 - Maysprings Condo,1.37764,103.76322
44861,Senja Rd,Blk 636A,44861 - Blk 636A,1.38669,103.75877
44869,Senja Rd,Bef Blk 629A Cp,44869 - Bef Blk 629A Cp,1.38659,103.75886
44871,Choa Chu Kang Ave 7,Blk 810 CP,44871 - Blk 810 CP,1.37415,103.7468
44879,Choa Chu Kang Ave 7,Opp Blk 810 CP,44879 - Opp Blk 810 CP,1.37432,103.74701
44881,Keat Hong Link,Blk 816B,44881 - Blk 816B,1.37573,103.74842
44889,Keat Hong Link,Opp Blk 816A,44889 - Opp Blk 816A,1.3756,103.7484
44891,Choa Chu Kang Gr,APSN,44891 - APSN,1.37409,103.7493
44899,Choa Chu Kang Gr,Opp APSN,44899 - Opp APSN,1.37432,103.7495
44909,Bt Panjang Rd,Blk 184,44909 - Blk 184,1.37999,103.76226
44911,Bt Panjang Ring Rd,Blk 450,44911 - Blk 450,1.38485,103.77286
44919,Bt Panjang Ring Rd,Opp Blk 451,44919 - Opp Blk 451,1.38549,103.77279
44921,Bt Panjang Ring Rd,Opp Greenridge Sec Sch,44921 - Opp Greenridge Sec Sch,1.38227,103.77284
44929,Bt Panjang Ring Rd,Greenridge Sec Sch,44929 - Greenridge Sec Sch,1.3827,103.77309
44931,Senja Close,Blk 643 CP,44931 - Blk 643 CP,1.3877,103.76336
44941,KJE,Opp Blk 502,44941 - Opp Blk 502,1.3882,103.74428
44949,KJE,Aft Blk 503,44949 - Aft Blk 503,1.38843,103.7429
44951,Senja Close,Blk 638A,44951 - Blk 638A,1.38831,103.76139
44959,Senja Close,Blk 643A,44959 - Blk 643A,1.38861,103.76243
44969,Teck Whye Cres,Aft Teck Whye Walk,44969 - Aft Teck Whye Walk,1.38215,103.75449
44999,Woodlands Rd,Bef Yew Tee Flyover,44999 - Bef Yew Tee Flyover,1.39124,103.75451
45009,Petir Rd,Bt Panjang Int,45009 - Bt Panjang Int,1.37813,103.76329
45011,Woodlands Rd,Aft Yew Tee Flyover,45011 - Aft Yew Tee Flyover,1.39022,103.75456
45019,Woodlands Rd,Aft Yew Tee Flyover,45019 - Aft Yew Tee Flyover,1.3883,103.75554
45021,Woodlands Rd,Heavy Veh Pk,45021 - Heavy Veh Pk,1.39386,103.75384
45029,Woodlands Rd,Opp Heavy Veh Pk,45029 - Opp Heavy Veh Pk,1.39304,103.75415
45031,Woodlands Rd,Yew Tee Ind Est,45031 - Yew Tee Ind Est,1.39623,103.75422
45039,Woodlands Rd,Opp Yew Tee Ind Est,45039 - Opp Yew Tee Ind Est,1.39586,103.75428
45041,Woodlands Rd,Thong Huat Bros Pte Ltd,45041 - Thong Huat Bros Pte Ltd,1.40063,103.75556
45049,Woodlands Rd,Opp Yew Tee Ind Est Blk 1,45049 - Opp Yew Tee Ind Est Blk 1,1.39774,103.75499
45051,Woodlands Rd,Da Di Glass,45051 - Da Di Glass,1.40338,103.75601
45059,Woodlands Rd,Opp Da Di Glass,45059 - Opp Da Di Glass,1.40341,103.75621
45061,Woodlands Rd,Opp Mandai Est,45061 - Opp Mandai Est,1.40718,103.75606
45069,Woodlands Rd,Aft Mandai Est,45069 - Aft Mandai Est,1.40694,103.75627
45071,Woodlands Rd,Bef Mandai Rd,45071 - Bef Mandai Rd,1.40955,103.75568
45079,Woodlands Rd,Aft Mandai Rd,45079 - Aft Mandai Rd,1.40959,103.75588
45091,Woodlands Rd,Opp Jln Bumbong,45091 - Opp Jln Bumbong,1.41422,103.75523
45099,Woodlands Rd,Aft Jln Bumbong,45099 - Aft Jln Bumbong,1.41342,103.75591
45101,Woodlands Rd,Aft LP 234,45101 - Aft LP 234,1.41863,103.75457
45109,Woodlands Rd,Bef Jln Bumbong,45109 - Bef Jln Bumbong,1.41786,103.75478
45111,Woodlands Rd,Opp Kranji War Memorial,45111 - Opp Kranji War Memorial,1.4217,103.75566
45119,Woodlands Rd,Kranji War Memorial,45119 - Kranji War Memorial,1.42181,103.75598
45121,Woodlands Rd,Opp KF1 Karting Circuit,45121 - Opp KF1 Karting Circuit,1.42403,103.75863
45129,Woodlands Rd,KF1 Karting Circuit,45129 - KF1 Karting Circuit,1.42383,103.75863
45131,Woodlands Rd,Opp Kranji Stn,45131 - Opp Kranji Stn,1.42514,103.76104
45139,Woodlands Rd,Kranji Stn,45139 - Kranji Stn,1.42526,103.76178
45141,Kranji Rd,Aft W'lands Rd,45141 - Aft W'lands Rd,1.42484,103.75684
45149,Kranji Rd,Bef W'lands Rd,45149 - Bef W'lands Rd,1.42515,103.75695
45151,Sg Kadut Ave,Opp Multistates Trading,45151 - Opp Multistates Trading,1.40087,103.75429
